GAME: VALORANT;V-YSNC OFF;V-SYNC ON (240 FPS);;;GAME: DOOM ETERNAL;V-YSNC OFF;V-SYNC ON (240 FPS)
Average Frame/Second;935;240;;;Average Frame/Second;390;240
Average 1% Low FPS;27;200;;;Average 1% Low FPS;260;235
GPU Frametime (ms); 0.4;0.5;;;GPU Frametime (ms);2.26;4.17
CPU Frametime (ms);0.9;4.1;;;CPU Frametime (ms);0.78;0.95
Average Frametime (ms);1.1;4.2;;;Average Frametime (ms);2.5;4.20
Average CPU Load;47%;20%;;;Average CPU Load;33%;62%
Average GPU Load;40%;15%;;;Average GPU Load;93%;32%
Average Mouse Latency Razer Viper Mini(ms);8.5;11.8 ;;;Average Mouse Latency Razer Viper Mini(ms);10.7;11.6
Average Mouse Latency Scyrox V8 2.4hz Dongle (ms);11.5;15.0;;;Average Mouse Latency Scyrox V8 2.4hz Dongle (ms);12.4;15.6
Fantech Mochi85 Bluetooth (125hz polling rate);15.5;20.5;;;Fantech Mochi85 Bluetooth (125hz polling rate);19.1;24.1
NOTE: TESTING SPEC;;;;;;;
CPU;AMD Ryzen 7 9700x;;;;;;
GPU;NVIDIA 5070 Ti;;;;;;
RAM;DDR5 32GB 6000Mhz;;;;;;
MOUSE;Razer Viper Mini (WIRED);;;;;;
Monitor ;MAG 273QP QD-OLED X24 27 Inch;;;;;;
;;;;;;;
